LoanID,CustomerID,LoanType,PrincipalAmount,InterestRate,StartDate,EndDate,MonthlyInstallment,TotalPayable,Collateral,Status
1,957,Car,32283.16,3.03,2023-01-26,2029-08-12,1055.92,32232.77,Sure,Rejected
2,1774,Business,21741.35,7.21,2020-12-10,2028-04-29,1397.19,5654.12,Economy,Defaulted
3,1648,Home,18555.72,6.63,2023-07-03,2028-10-10,1982.0,18638.69,Operation,Approved
4,611,Mortgage,36560.83,12.3,2024-05-12,2027-09-07,630.71,11297.58,Receive,Rejected
5,358,Home,4795.98,7.99,2023-05-18,2026-12-14,1513.05,51123.77,Carry,Closed
6,4597,Business,32193.98,13.25,2024-09-12,2027-01-10,854.64,41982.53,Rest,Approved
7,1672,Business,4670.56,9.46,2021-10-07,2027-05-26,1737.42,13932.95,South,Rejected
8,4180,Mortgage,28033.82,3.3,2022-10-18,2030-06-11,472.94,37019.84,Agreement,Approved
9,3101,Payday,44627.98,9.33,2022-05-24,2029-08-20,691.89,17156.47,Responsibility,Rejected
10,1563,Home,44651.85,8.37,2021-02-13,2030-03-05,220.46,36650.9,Pass,Approved
11,4040,Business,49657.41,12.54,2025-02-28,2030-03-03,631.43,28725.83,Effort,Closed
12,4203,Personal,36144.25,6.34,2021-01-12,2025-10-06,1947.19,57869.16,Ball,Rejected
13,2691,Payday,46514.61,13.88,2020-11-28,2029-11-10,494.27,29975.84,Think,Approved
14,4814,Payday,22234.73,4.97,2022-05-16,2027-07-07,841.42,29646.27,Instead,Pending
15,135,Personal,33472.17,7.45,2025-07-16,2028-07-08,1904.28,12069.26,Account,Approved
16,4489,Home,12647.61,5.54,2023-03-09,2030-03-26,251.41,40532.44,Need,Defaulted
17,4862,Car,47310.75,3.14,2023-10-12,2027-03-24,1722.35,45253.99,National,Rejected
18,2834,Car,42110.97,5.34,2022-08-11,2028-09-12,719.03,30352.44,First,Defaulted
19,149,Education,22973.05,12.58,2025-03-21,2029-11-28,1810.95,58266.96,Fire,Defaulted
20,4894,Mortgage,3033.73,4.28,2025-08-09,2029-10-20,1136.15,39481.14,Answer,Closed
21,2475,Business,9960.8,4.32,2020-11-24,2030-05-25,326.34,27524.11,Arrive,Pending
22,3606,Car,30358.33,9.85,2024-10-19,2027-11-13,1643.32,52161.08,Along,Approved
23,59,Car,4569.69,12.65,2024-10-31,2026-10-18,1679.08,8741.7,Ask,Defaulted
24,1829,Education,40801.3,7.61,2024-04-11,2026-07-07,356.41,53229.92,Son,Approved
25,1151,Education,22755.79,7.25,2024-09-25,2026-05-06,1246.79,34553.7,Pull,Rejected
26,2716,Mortgage,32499.17,14.26,2024-07-15,2027-10-15,1510.16,23083.57,Man,Closed
27,1589,Car,41034.44,5.2,2022-03-05,2028-04-10,1460.24,53646.11,Decade,Closed
28,2723,Personal,41139.23,5.65,2024-05-03,2026-08-25,1407.68,58340.29,Agreement,Defaulted
29,481,Car,47359.09,4.49,2023-11-14,2027-05-01,1680.0,24819.23,Market,Pending
30,1341,Home,41693.57,6.14,2021-06-29,2030-07-22,1303.87,3805.48,Property,Approved
31,2925,Business,3052.8,12.36,2021-11-13,2029-12-10,619.44,8806.68,Study,Defaulted
32,1030,Personal,11268.29,14.51,2024-08-17,2030-07-16,307.13,3058.19,Rest,Approved
33,1492,Mortgage,31177.13,5.07,2023-06-17,2026-09-18,1417.53,13065.24,Every,Rejected
34,3841,Education,17662.59,6.57,2024-09-30,2026-12-17,1455.86,54856.53,Take,Defaulted
35,255,Car,48371.48,10.84,2025-05-31,2026-07-25,1133.41,27635.0,Public,Defaulted
36,3963,Education,33085.31,6.64,2025-04-05,2027-05-13,284.99,45137.96,Strategy,Closed
37,4878,Home,13908.42,3.46,2024-12-23,2027-07-14,1803.72,21160.8,Executive,Rejected
38,3881,Business,14951.02,8.37,2025-03-26,2026-01-01,1264.29,20194.4,Tell,Approved
39,4251,Payday,40853.86,6.13,2020-10-21,2028-09-24,177.22,43678.67,True,Rejected
40,2130,Personal,10416.81,11.81,2025-05-24,2029-06-28,329.61,10027.74,Picture,Approved
41,1322,Payday,31820.35,7.65,2025-09-02,2028-11-19,408.9,54344.08,Thank,Closed
42,742,Personal,13990.41,14.22,2024-11-13,2026-12-11,977.87,39138.36,Event,Pending
43,1014,Education,36836.48,3.35,2025-05-29,2027-08-11,1143.93,49307.02,Mrs,Defaulted
44,990,Mortgage,33978.97,11.29,2023-10-24,2027-07-29,1807.85,35111.76,Raise,Approved
45,2352,Business,24356.26,5.04,2021-12-13,2026-01-05,1534.0,23626.52,Argue,Closed
46,1451,Mortgage,26792.58,10.5,2023-07-12,2030-08-17,970.93,54174.59,Try,Pending
47,639,Payday,7685.92,7.26,2024-07-29,2027-11-11,521.6,28253.68,Suggest,Defaulted
48,2103,Personal,4707.42,6.6,2021-12-12,2030-02-09,130.92,38668.63,Beyond,Rejected
49,2282,Home,21769.35,8.51,2022-05-06,2027-11-08,1185.52,54450.86,Suffer,Closed
50,3960,Business,37125.41,7.44,2021-03-30,2026-08-22,306.12,48326.18,Assume,Pending
